route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
140,NBM,"14","Wilton - Wellington - Roseneath - Hataitai - Kilbirnie",,3,,6cace4,000000
2,RAIL,"KPL","Kapiti Line (Waikanae - Wellington)",,2,,d4e031,000000
9966,TZM,"N66","After Midnight (Wellington - Lower Hutt - Waterloo - Wainuiomata)",,3,,000000,ffffff
120,NBM,"12","Strathmore Park - Kilbirnie - Newtown",,3,,6cace4,000000
30,NBM,"3","Lyall Bay/Rongotai - Kilbirnie - Newtown - Wellington",,3,,5e9732,000000
1150,TZM,"115","Upper Hutt - Pinehaven - Upper Hutt",,3,,6cace4,000000
2620,UZM,"262","Paraparaumu Beach - Paraparaumu (via Mazengarb Road)",,3,,6cace4,000000
1700,TZM,"170","Lower Hutt - Wainuiomata South - Lower Hutt",,3,,6cace4,000000
9912,NBM,"N2","After Midnight (Wellington - Miramar - Strathmore Park - Seatoun)",,3,,000000,ffffff
850,NBM,"85x","Eastbourne - Wellington (Express)",,3,,636466,ffffff
560,MNM,"56","Johnsonville - Paparangi - Wellington",,3,,636466,ffffff
2800,UZM,"280","Waikanae - Waikanae Beach - Waikanae",,3,,6cace4,000000
180,NBM,"18","Miramar - Kilbirnie",,3,,6cace4,000000
2100,TZM,"210","Titahi Bay - Porirua",,3,,6cace4,000000
9,WCCL,"CCL","Cable Car (Kelburn - Wellington)",,5,,db2032,ffffff
1100,TZM,"110","Emerald Hill - Upper Hutt - Lower Hutt - Petone",,3,,9849b8,ffffff
210,NBM,"21","Karori (Wrights Hill) - Kelburn - Courtenay Place",,3,,ee80b3,000000
2040,TZM,"204","Greytown - Woodside",,3,,636466,ffffff
220,NBM,"22","Johnsonville - Mairangi - Kelburn - Wellington",,3,,f58025,000000
70,TZM,"7","Kingston - Brooklyn - Wellington",,3,,9f219f,ffffff
2600,UZM,"260","Raumati Beach - Paraparaumu Beach - Paraparaumu",,3,,6cace4,000000
840,NBM,"84","Eastbourne - Gracefield - Petone - Wellington",,3,,636466,ffffff
9915,TZM,"N5","After Midnight (Wellington - Newlands - Churton Park - Johnsonville)",,3,,000000,ffffff
5,RAIL,"HVL","Hutt Valley Line (Upper Hutt - Wellington)",,2,,ff6600,000000
2510,UZM,"251","Paekakariki - Paraparaumu - Kapiti Health Centre",,3,,636466,ffffff
9988,NBM,"N88","After Midnight (Wellington - Petone - Lower Hutt - Eastbourne)",,3,,000000,ffffff
191,TZM,"19e","Johnsonville - Churton Park - Johnsonville (Wellington extension)",,3,,636466,ffffff
340,NBM,"34","Karori West - Brandon Street",,3,,636466,ffffff
2810,UZM,"281","Waikanae - Waikanae East - Waikanae",,3,,6cace4,000000
810,NBM,"81","Eastbourne - Petone - Wellington",,3,,636466,ffffff
3000,TZM,"300","Whenua Tapu Cemetery - Porirua - Titahi Bay",,3,,636466,ffffff
250,TZM,"25","Khandallah - Wellington - Aro Valley - Highbury",,3,,6cace4,000000
1500,TZM,"150","Kelson - Lower Hutt - Maungaraki - Petone",,3,,6cace4,000000
200,NBM,"20","Kilbirnie - Mt Victoria - Courtenay Place",,3,,6cace4,000000
290,TZM,"29","Newtown - Southgate - Owhiro Bay - Brooklyn",,3,,6cace4,000000
9911,TZM,"N1","After Midnight (Wellington - Island Bay - Houghton Bay - Lyall Bay)",,3,,000000,ffffff
2640,UZM,"264","Paraparaumu East - Paraparaumu - Kapiti Health Centre",,3,,636466,ffffff
