from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
7026,7224,2,120,12__1__104__NBM__52__1__52__1,2__0__109__NBM__4__7__4__7
2003,PORI1,2,0,220__1__132__TZM__306__2__306__2,KPL__1__6231__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__135__TZM__313__313,KPL__1__6231__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,19__0__421__TZM__210__210,1__1__454__TZM__2__1__2__1
3000,3000,2,120,1__0__405__TZM__2__1__2__1,19__0__401__TZM__210__210
PORI2,2003,2,0,KPL__0__6466__RAIL__Rail_SaSu+Hol,220__1__454__TZM__304__1__304__1
7720,7700,2,60,17__1__136__TZM__105__2__105__2,7__1__192__TZM__242__242
1001,PARA1,2,0,260__1__140__UZM__1313__1313,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
8580,UPPE,2,240,110__1__746__TZM__501__501,HVL__1__3859__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__204__TZM__121__121,29__1__138__TZM__109__2__109__2
8251,TAIT1,2,0,120__1__158__TZM__611__611,HVL__1__3607__RAIL__Rail_MTuWThF-XHol
PORI1,2002,2,0,KPL__1__6457__RAIL__Rail_SaSu+Hol,60__1__724__MNM__1042__1042
3081,3081,2,120,19__0__441__TZM__210__210,1__1__494__TZM__2__1__2__1
2003,PORI1,2,0,220__1__112__TZM__314__314,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__112__TZM__314__1__314__1,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__119__TZM__310__310,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,230__0__417__TZM__303__2__303__2
8580,UPPE,2,240,110__1__102__TZM__501__2__501__2,HVL__1__2605__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,170__0__183__TZM__614__614
3081,3081,2,120,60__1__144__MNM__3221__3221,1__1__228__TZM__232__232
8251,TAIT1,2,0,120__1__722__TZM__402__402,HVL__1__3839__RAIL__Rail_SaSu+Hol
1001,PARA1,2,0,250__0__707__UZM__4105__4105,KPL__1__6427__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6314__RAIL__Rail_MTuWThF-XHol,262__0__121__UZM__1313__1313
PARA2,1001,2,240,KPL__0__6242__RAIL__Rail_MTuWThF-XHol,262__0__117__UZM__1312__1312
